epoc (ms),timestamp (+0200),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1665669587440,2022-10-13T15.59.47.440,0.000,0.183,-0.488,-0.427
1665669587479,2022-10-13T15.59.47.479,0.039,0.366,-0.488,-0.427
1665669587520,2022-10-13T15.59.47.520,0.080,0.183,-0.488,-0.366
1665669587561,2022-10-13T15.59.47.561,0.121,-0.427,-0.305,-0.305
1665669587601,2022-10-13T15.59.47.601,0.161,0.000,-0.122,-0.183
1665669587642,2022-10-13T15.59.47.642,0.202,0.976,-0.061,-0.061
1665669587683,2022-10-13T15.59.47.683,0.243,0.610,-0.488,-0.061
1665669587722,2022-10-13T15.59.47.722,0.282,0.305,-0.854,-0.061
1665669587763,2022-10-13T15.59.47.763,0.323,0.488,-0.976,-0.122
1665669587804,2022-10-13T15.59.47.804,0.364,0.854,-0.976,-0.183
1665669587844,2022-10-13T15.59.47.844,0.404,0.976,-0.671,-0.061
1665669587885,2022-10-13T15.59.47.885,0.445,0.915,-0.366,-0.061
1665669587926,2022-10-13T15.59.47.926,0.486,0.000,-0.183,-0.305
1665669587965,2022-10-13T15.59.47.965,0.525,-0.183,0.122,-0.305
1665669588006,2022-10-13T15.59.48.006,0.566,0.793,0.122,-0.061
1665669588047,2022-10-13T15.59.48.047,0.607,1.280,0.000,0.000
1665669588087,2022-10-13T15.59.48.087,0.647,0.915,-0.122,-0.122
1665669588128,2022-10-13T15.59.48.128,0.688,0.976,-0.183,-0.183
1665669588169,2022-10-13T15.59.48.169,0.729,1.280,-0.427,-0.122
1665669588209,2022-10-13T15.59.48.209,0.769,2.317,-0.732,-0.061
1665669588250,2022-10-13T15.59.48.250,0.810,2.439,-1.220,-0.183
1665669588291,2022-10-13T15.59.48.291,0.851,1.098,-1.341,-0.366
1665669588330,2022-10-13T15.59.48.330,0.890,0.854,-1.037,-0.366
1665669588371,2022-10-13T15.59.48.371,0.931,1.341,-0.671,-0.244
1665669588412,2022-10-13T15.59.48.412,0.972,1.098,-0.366,-0.427
1665669588452,2022-10-13T15.59.48.452,1.012,-0.427,0.000,-0.488
1665669588493,2022-10-13T15.59.48.493,1.053,-0.549,0.305,-0.183
1665669588534,2022-10-13T15.59.48.534,1.094,0.976,0.305,-0.244
1665669588573,2022-10-13T15.59.48.573,1.133,1.159,0.061,-0.305
1665669588614,2022-10-13T15.59.48.614,1.174,0.732,-0.488,-0.122
1665669588655,2022-10-13T15.59.48.655,1.215,1.037,-1.098,-0.244
