epoc (ms),timestamp (+0200),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1665669585816,2022-10-13T15.59.45.816,0.000,1.585,0.122,-0.915
1665669585857,2022-10-13T15.59.45.857,0.041,1.463,0.427,-0.610
1665669585897,2022-10-13T15.59.45.897,0.081,0.793,0.854,-0.793
1665669585936,2022-10-13T15.59.45.936,0.120,0.732,0.854,-0.915
1665669585977,2022-10-13T15.59.45.977,0.161,0.915,0.854,-0.854
1665669586017,2022-10-13T15.59.46.017,0.201,0.915,0.854,-0.793
1665669586058,2022-10-13T15.59.46.058,0.242,0.549,0.854,-0.732
1665669586097,2022-10-13T15.59.46.097,0.281,0.793,0.854,-0.793
1665669586137,2022-10-13T15.59.46.137,0.321,0.915,0.976,-0.854
1665669586178,2022-10-13T15.59.46.178,0.362,0.671,1.098,-0.915
1665669586218,2022-10-13T15.59.46.218,0.402,0.549,1.037,-1.098
1665669586257,2022-10-13T15.59.46.257,0.441,0.488,0.793,-1.098
1665669586298,2022-10-13T15.59.46.298,0.482,0.793,0.427,-1.159
1665669586338,2022-10-13T15.59.46.338,0.522,0.488,0.488,-1.098
1665669586377,2022-10-13T15.59.46.377,0.561,0.183,0.488,-0.732
1665669586418,2022-10-13T15.59.46.418,0.602,0.854,0.305,-0.305
1665669586458,2022-10-13T15.59.46.458,0.642,0.793,0.549,0.000
1665669586499,2022-10-13T15.59.46.499,0.683,0.366,0.976,0.122
1665669586538,2022-10-13T15.59.46.538,0.722,0.549,1.037,0.305
1665669586578,2022-10-13T15.59.46.578,0.762,0.976,0.610,0.427
1665669586619,2022-10-13T15.59.46.619,0.803,0.793,0.305,0.366
1665669586658,2022-10-13T15.59.46.658,0.842,0.976,-0.061,0.244
1665669586698,2022-10-13T15.59.46.698,0.882,0.854,-0.244,0.061
1665669586739,2022-10-13T15.59.46.739,0.923,0.793,-0.366,-0.183
1665669586779,2022-10-13T15.59.46.779,0.963,0.793,-0.915,-0.549
1665669586820,2022-10-13T15.59.46.820,1.004,0.915,-1.341,-0.854
1665669586859,2022-10-13T15.59.46.859,1.043,0.671,-1.280,-0.793
1665669586899,2022-10-13T15.59.46.899,1.083,0.854,-1.220,-0.732
1665669586940,2022-10-13T15.59.46.940,1.124,1.098,-1.159,-0.610
1665669586979,2022-10-13T15.59.46.979,1.163,0.732,-1.098,-0.488
1665669587019,2022-10-13T15.59.47.019,1.203,1.037,-1.098,-0.427
1665669587060,2022-10-13T15.59.47.060,1.244,0.732,-0.976,-0.305
1665669587099,2022-10-13T15.59.47.099,1.283,0.610,-0.915,-0.122
1665669587139,2022-10-13T15.59.47.139,1.323,1.646,-1.098,-0.122
1665669587180,2022-10-13T15.59.47.180,1.364,0.549,-0.610,-0.061
1665669587219,2022-10-13T15.59.47.219,1.403,0.671,-0.427,-0.305
1665669587260,2022-10-13T15.59.47.260,1.444,1.037,-0.427,-0.366
1665669587300,2022-10-13T15.59.47.300,1.484,1.037,-0.610,-0.366
1665669587340,2022-10-13T15.59.47.340,1.524,1.280,-0.915,-0.488
1665669587381,2022-10-13T15.59.47.381,1.565,0.976,-0.854,-0.549
1665669587420,2022-10-13T15.59.47.420,1.604,1.159,-0.610,-0.549
1665669587460,2022-10-13T15.59.47.460,1.644,1.220,-0.549,-0.610
1665669587501,2022-10-13T15.59.47.501,1.685,0.793,-0.427,-0.671
1665669587540,2022-10-13T15.59.47.540,1.724,0.793,-0.488,-0.549
1665669587580,2022-10-13T15.59.47.580,1.764,0.854,-0.549,-0.183
1665669587621,2022-10-13T15.59.47.621,1.805,1.037,-0.549,0.183
1665669587660,2022-10-13T15.59.47.660,1.844,0.854,-0.244,0.488
1665669587701,2022-10-13T15.59.47.701,1.885,0.854,0.061,0.793
1665669587741,2022-10-13T15.59.47.741,1.925,1.098,0.122,0.854
1665669587781,2022-10-13T15.59.47.781,1.965,0.854,0.366,0.793
1665669587822,2022-10-13T15.59.47.822,2.006,1.037,0.183,0.610
1665669587861,2022-10-13T15.59.47.861,2.045,0.976,-0.122,0.305
1665669587901,2022-10-13T15.59.47.901,2.085,0.793,-0.366,0.122
1665669587942,2022-10-13T15.59.47.942,2.126,0.915,-0.610,-0.061
1665669587981,2022-10-13T15.59.47.981,2.165,0.549,-0.488,-0.305
1665669588021,2022-10-13T15.59.48.021,2.205,0.671,-0.305,-0.305
1665669588062,2022-10-13T15.59.48.062,2.246,0.915,-0.183,-0.061
1665669588101,2022-10-13T15.59.48.101,2.285,0.549,0.000,0.122
1665669588142,2022-10-13T15.59.48.142,2.326,0.976,0.122,0.366
1665669588182,2022-10-13T15.59.48.182,2.366,0.915,0.549,0.427
1665669588221,2022-10-13T15.59.48.221,2.405,1.037,0.793,0.488
1665669588262,2022-10-13T15.59.48.262,2.446,1.159,0.915,0.244
1665669588302,2022-10-13T15.59.48.302,2.486,0.488,0.854,0.000
1665669588342,2022-10-13T15.59.48.342,2.526,1.037,0.427,-0.244
1665669588383,2022-10-13T15.59.48.383,2.567,0.854,0.061,-0.488
1665669588422,2022-10-13T15.59.48.422,2.606,0.671,-0.366,-0.732
1665669588462,2022-10-13T15.59.48.462,2.646,0.793,-0.732,-0.732
1665669588503,2022-10-13T15.59.48.503,2.687,1.037,-0.915,-0.610
1665669588542,2022-10-13T15.59.48.542,2.726,0.854,-0.610,-0.366
1665669588583,2022-10-13T15.59.48.583,2.767,0.854,-0.305,0.000
1665669588623,2022-10-13T15.59.48.623,2.807,1.341,0.061,0.305
1665669588662,2022-10-13T15.59.48.662,2.846,1.341,0.610,0.610
1665669588703,2022-10-13T15.59.48.703,2.887,0.915,1.037,0.488
1665669588743,2022-10-13T15.59.48.743,2.927,0.427,1.159,0.183
1665669588782,2022-10-13T15.59.48.782,2.966,1.707,0.549,0.183
1665669588823,2022-10-13T15.59.48.823,3.007,1.037,-0.427,-0.183
1665669588863,2022-10-13T15.59.48.863,3.047,0.488,-0.915,-0.549
1665669588903,2022-10-13T15.59.48.903,3.087,0.854,-1.890,-1.220
