epoc (ms),timestamp (+0200),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1665753886362,2022-10-14T15.24.46.362,0.000,-0.886,-0.060,0.429
1665753886372,2022-10-14T15.24.46.372,0.010,-0.892,-0.061,0.441
1665753886381,2022-10-14T15.24.46.381,0.019,-0.892,-0.059,0.435
1665753886391,2022-10-14T15.24.46.391,0.029,-0.891,-0.057,0.439
1665753886401,2022-10-14T15.24.46.401,0.039,-0.892,-0.059,0.439
1665753886412,2022-10-14T15.24.46.412,0.050,-0.891,-0.062,0.435
1665753886422,2022-10-14T15.24.46.422,0.060,-0.890,-0.060,0.441
1665753886432,2022-10-14T15.24.46.432,0.070,-0.888,-0.055,0.445
1665753886442,2022-10-14T15.24.46.442,0.080,-0.891,-0.058,0.441
1665753886453,2022-10-14T15.24.46.453,0.091,-0.890,-0.061,0.431
1665753886463,2022-10-14T15.24.46.463,0.101,-0.893,-0.065,0.428
1665753886473,2022-10-14T15.24.46.473,0.111,-0.892,-0.064,0.429
1665753886483,2022-10-14T15.24.46.483,0.121,-0.890,-0.062,0.430
1665753886492,2022-10-14T15.24.46.492,0.130,-0.886,-0.058,0.442
1665753886502,2022-10-14T15.24.46.502,0.140,-0.890,-0.057,0.442
1665753886513,2022-10-14T15.24.46.513,0.151,-0.892,-0.056,0.444
1665753886523,2022-10-14T15.24.46.523,0.161,-0.890,-0.056,0.448
1665753886533,2022-10-14T15.24.46.533,0.171,-0.890,-0.058,0.440
1665753886543,2022-10-14T15.24.46.543,0.181,-0.892,-0.059,0.436
1665753886554,2022-10-14T15.24.46.554,0.192,-0.891,-0.060,0.438
1665753886564,2022-10-14T15.24.46.564,0.202,-0.890,-0.062,0.438
1665753886574,2022-10-14T15.24.46.574,0.212,-0.892,-0.064,0.436
1665753886584,2022-10-14T15.24.46.584,0.222,-0.891,-0.060,0.434
1665753886595,2022-10-14T15.24.46.595,0.233,-0.889,-0.060,0.436
1665753886605,2022-10-14T15.24.46.605,0.243,-0.891,-0.062,0.434
1665753886615,2022-10-14T15.24.46.615,0.253,-0.888,-0.059,0.443
1665753886624,2022-10-14T15.24.46.624,0.262,-0.889,-0.057,0.444
1665753886634,2022-10-14T15.24.46.634,0.272,-0.890,-0.057,0.448
1665753886644,2022-10-14T15.24.46.644,0.282,-0.890,-0.053,0.449
1665753886655,2022-10-14T15.24.46.655,0.293,-0.893,-0.062,0.438
1665753886665,2022-10-14T15.24.46.665,0.303,-0.893,-0.065,0.428
1665753886675,2022-10-14T15.24.46.675,0.313,-0.891,-0.062,0.430
1665753886686,2022-10-14T15.24.46.686,0.324,-0.893,-0.062,0.424
1665753886696,2022-10-14T15.24.46.696,0.334,-0.891,-0.060,0.434
1665753886706,2022-10-14T15.24.46.706,0.344,-0.893,-0.061,0.439
1665753886716,2022-10-14T15.24.46.716,0.354,-0.891,-0.059,0.445
1665753886727,2022-10-14T15.24.46.727,0.365,-0.889,-0.056,0.449
1665753886737,2022-10-14T15.24.46.737,0.375,-0.890,-0.059,0.439
1665753886746,2022-10-14T15.24.46.746,0.384,-0.890,-0.058,0.431
1665753886756,2022-10-14T15.24.46.756,0.394,-0.888,-0.062,0.435
