epoc (ms),timestamp (+0200),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1665753886372,2022-10-14T15.24.46.372,0.000,-0.061,-0.061,-0.427
1665753886381,2022-10-14T15.24.46.381,0.009,-0.305,0.000,-0.366
1665753886391,2022-10-14T15.24.46.391,0.019,-0.061,-0.549,-0.366
1665753886401,2022-10-14T15.24.46.401,0.029,-0.305,-0.366,-0.488
1665753886412,2022-10-14T15.24.46.412,0.040,-0.183,-0.366,-0.488
1665753886422,2022-10-14T15.24.46.422,0.050,0.305,-0.610,-0.427
1665753886432,2022-10-14T15.24.46.432,0.060,0.366,-0.549,-0.427
1665753886442,2022-10-14T15.24.46.442,0.070,-0.122,0.122,-0.610
1665753886453,2022-10-14T15.24.46.453,0.081,-0.427,0.183,-0.549
1665753886463,2022-10-14T15.24.46.463,0.091,-0.366,-0.122,-0.549
1665753886473,2022-10-14T15.24.46.473,0.101,0.061,-0.183,-0.488
1665753886483,2022-10-14T15.24.46.483,0.111,0.854,-0.366,-0.366
1665753886494,2022-10-14T15.24.46.494,0.122,1.463,-0.610,-0.305
1665753886502,2022-10-14T15.24.46.502,0.130,0.793,-0.305,-0.305
1665753886513,2022-10-14T15.24.46.513,0.141,0.000,-0.427,-0.427
1665753886523,2022-10-14T15.24.46.523,0.151,-0.427,-0.427,-0.427
1665753886533,2022-10-14T15.24.46.533,0.161,-0.549,0.000,-0.488
1665753886543,2022-10-14T15.24.46.543,0.171,-0.183,0.122,-0.549
1665753886554,2022-10-14T15.24.46.554,0.182,-0.061,-0.061,-0.610
1665753886564,2022-10-14T15.24.46.564,0.192,-0.366,0.000,-0.610
1665753886574,2022-10-14T15.24.46.574,0.202,-0.427,0.061,-0.488
1665753886584,2022-10-14T15.24.46.584,0.212,-0.061,0.000,-0.366
1665753886595,2022-10-14T15.24.46.595,0.223,0.366,0.000,-0.427
1665753886605,2022-10-14T15.24.46.605,0.233,0.671,-0.122,-0.427
1665753886615,2022-10-14T15.24.46.615,0.243,0.915,-0.488,-0.427
1665753886624,2022-10-14T15.24.46.624,0.252,0.610,-0.183,-0.366
1665753886634,2022-10-14T15.24.46.634,0.262,0.488,-0.122,-0.366
1665753886644,2022-10-14T15.24.46.644,0.272,0.183,0.305,-0.549
1665753886655,2022-10-14T15.24.46.655,0.283,-0.671,0.793,-0.610
1665753886665,2022-10-14T15.24.46.665,0.293,-0.732,0.427,-0.549
1665753886675,2022-10-14T15.24.46.675,0.303,-0.366,0.122,-0.488
1665753886686,2022-10-14T15.24.46.686,0.314,0.000,-0.122,-0.427
1665753886696,2022-10-14T15.24.46.696,0.324,0.732,-0.671,-0.305
1665753886706,2022-10-14T15.24.46.706,0.334,0.793,-0.488,-0.244
1665753886716,2022-10-14T15.24.46.716,0.344,0.427,-0.610,-0.366
1665753886727,2022-10-14T15.24.46.727,0.355,0.061,-0.366,-0.427
1665753886737,2022-10-14T15.24.46.737,0.365,-0.366,0.122,-0.366
1665753886746,2022-10-14T15.24.46.746,0.374,-0.366,0.183,-0.427
1665753886756,2022-10-14T15.24.46.756,0.384,-0.061,-0.061,-0.488
1665753886766,2022-10-14T15.24.46.766,0.394,0.183,0.061,-0.488
1665753886776,2022-10-14T15.24.46.776,0.404,0.244,-0.061,-0.366
1665753886787,2022-10-14T15.24.46.787,0.415,0.366,-0.305,-0.366
1665753886797,2022-10-14T15.24.46.797,0.425,0.183,-0.183,-0.488
1665753886807,2022-10-14T15.24.46.807,0.435,0.488,-0.244,-0.549
1665753886817,2022-10-14T15.24.46.817,0.445,0.427,0.000,-0.488
1665753886828,2022-10-14T15.24.46.828,0.456,0.000,0.183,-0.427
1665753886838,2022-10-14T15.24.46.838,0.466,-0.122,-0.061,-0.488
1665753886848,2022-10-14T15.24.46.848,0.476,-0.366,0.183,-0.488
1665753886858,2022-10-14T15.24.46.858,0.486,-0.305,0.000,-0.427
1665753886867,2022-10-14T15.24.46.867,0.495,0.488,-0.488,-0.366
1665753886877,2022-10-14T15.24.46.877,0.505,0.427,0.000,-0.427
1665753886888,2022-10-14T15.24.46.888,0.516,0.610,-0.549,-0.427
1665753886898,2022-10-14T15.24.46.898,0.526,0.244,-0.488,-0.427
1665753886908,2022-10-14T15.24.46.908,0.536,-0.305,-0.183,-0.305
1665753886918,2022-10-14T15.24.46.918,0.546,0.000,-0.305,-0.366
1665753886929,2022-10-14T15.24.46.929,0.557,0.061,-0.244,-0.488
1665753886939,2022-10-14T15.24.46.939,0.567,0.183,-0.305,-0.488
1665753886949,2022-10-14T15.24.46.949,0.577,0.366,-0.671,-0.427
1665753886959,2022-10-14T15.24.46.959,0.587,0.183,-0.183,-0.366
1665753886970,2022-10-14T15.24.46.970,0.598,-0.061,0.122,-0.427
1665753886980,2022-10-14T15.24.46.980,0.608,-0.366,-0.061,-0.671
1665753886989,2022-10-14T15.24.46.989,0.617,-0.305,-0.305,-0.549
1665753886999,2022-10-14T15.24.46.999,0.627,0.244,-0.671,-0.488
1665753887009,2022-10-14T15.24.47.009,0.637,1.037,-1.159,-0.488
1665753887019,2022-10-14T15.24.47.019,0.647,1.098,-0.793,-0.366
1665753887030,2022-10-14T15.24.47.030,0.658,0.244,-0.305,-0.427
1665753887040,2022-10-14T15.24.47.040,0.668,-0.732,-0.183,-0.427
1665753887050,2022-10-14T15.24.47.050,0.678,-1.159,0.061,-0.488
1665753887061,2022-10-14T15.24.47.061,0.689,-0.488,-0.061,-0.488
1665753887071,2022-10-14T15.24.47.071,0.699,0.122,0.000,-0.427
1665753887081,2022-10-14T15.24.47.081,0.709,0.610,-0.732,-0.183
1665753887091,2022-10-14T15.24.47.091,0.719,1.220,-1.463,-0.244
1665753887102,2022-10-14T15.24.47.102,0.730,0.854,-0.854,-0.366
1665753887110,2022-10-14T15.24.47.110,0.738,0.488,-0.183,-0.427
1665753887121,2022-10-14T15.24.47.121,0.749,-0.488,0.427,-0.549
1665753887131,2022-10-14T15.24.47.131,0.759,-1.341,0.732,-0.671
1665753887141,2022-10-14T15.24.47.141,0.769,-1.159,0.793,-0.549
1665753887151,2022-10-14T15.24.47.151,0.779,-0.366,0.549,-0.366
1665753887162,2022-10-14T15.24.47.162,0.790,0.915,-0.061,-0.366
1665753887172,2022-10-14T15.24.47.172,0.800,1.341,-0.305,-0.427
1665753887182,2022-10-14T15.24.47.182,0.810,1.524,-0.854,-0.183
1665753887192,2022-10-14T15.24.47.192,0.820,0.976,-1.098,-0.244
1665753887203,2022-10-14T15.24.47.203,0.831,0.427,-0.488,-0.366
1665753887213,2022-10-14T15.24.47.213,0.841,-0.488,0.366,-0.488
1665753887223,2022-10-14T15.24.47.223,0.851,-0.854,0.183,-0.488
1665753887232,2022-10-14T15.24.47.232,0.860,-0.732,-0.061,-0.427
1665753887242,2022-10-14T15.24.47.242,0.870,-0.610,0.000,-0.427
