epoc (ms),timestamp (+0200),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1665753885414,2022-10-14T15.24.45.414,0.000,-0.867,-0.058,0.474
1665753885424,2022-10-14T15.24.45.424,0.010,-0.876,-0.053,0.468
1665753885433,2022-10-14T15.24.45.433,0.019,-0.871,-0.043,0.463
1665753885443,2022-10-14T15.24.45.443,0.029,-0.869,-0.047,0.463
1665753885453,2022-10-14T15.24.45.453,0.039,-0.872,-0.052,0.466
1665753885464,2022-10-14T15.24.45.464,0.050,-0.869,-0.046,0.470
1665753885474,2022-10-14T15.24.45.474,0.060,-0.868,-0.047,0.475
1665753885484,2022-10-14T15.24.45.484,0.070,-0.870,-0.057,0.485
1665753885493,2022-10-14T15.24.45.493,0.079,-0.870,-0.056,0.494
1665753885503,2022-10-14T15.24.45.503,0.089,-0.866,-0.049,0.495
1665753885513,2022-10-14T15.24.45.513,0.099,-0.868,-0.053,0.498
1665753885524,2022-10-14T15.24.45.524,0.110,-0.868,-0.057,0.504
1665753885534,2022-10-14T15.24.45.534,0.120,-0.862,-0.054,0.505
1665753885544,2022-10-14T15.24.45.544,0.130,-0.867,-0.052,0.498
1665753885553,2022-10-14T15.24.45.553,0.139,-0.872,-0.054,0.490
1665753885563,2022-10-14T15.24.45.563,0.149,-0.870,-0.053,0.482
1665753885573,2022-10-14T15.24.45.573,0.159,-0.873,-0.054,0.474
1665753885584,2022-10-14T15.24.45.584,0.170,-0.873,-0.051,0.468
1665753885594,2022-10-14T15.24.45.594,0.180,-0.868,-0.049,0.463
1665753885604,2022-10-14T15.24.45.604,0.190,-0.870,-0.046,0.463
1665753885613,2022-10-14T15.24.45.613,0.199,-0.868,-0.041,0.466
1665753885623,2022-10-14T15.24.45.623,0.209,-0.865,-0.045,0.474
1665753885633,2022-10-14T15.24.45.633,0.219,-0.871,-0.055,0.481
1665753885644,2022-10-14T15.24.45.644,0.230,-0.873,-0.056,0.486
1665753885654,2022-10-14T15.24.45.654,0.240,-0.869,-0.053,0.495
1665753885664,2022-10-14T15.24.45.664,0.250,-0.865,-0.055,0.501
1665753885673,2022-10-14T15.24.45.673,0.259,-0.864,-0.053,0.506
1665753885683,2022-10-14T15.24.45.683,0.269,-0.865,-0.053,0.502
1665753885694,2022-10-14T15.24.45.694,0.280,-0.866,-0.050,0.500
1665753885704,2022-10-14T15.24.45.704,0.290,-0.869,-0.050,0.492
1665753885714,2022-10-14T15.24.45.714,0.300,-0.872,-0.053,0.485
1665753885724,2022-10-14T15.24.45.724,0.310,-0.869,-0.049,0.473
1665753885735,2022-10-14T15.24.45.735,0.321,-0.871,-0.049,0.463
1665753885743,2022-10-14T15.24.45.743,0.329,-0.874,-0.052,0.459
1665753885754,2022-10-14T15.24.45.754,0.340,-0.873,-0.048,0.459
1665753885764,2022-10-14T15.24.45.764,0.350,-0.870,-0.048,0.462
1665753885774,2022-10-14T15.24.45.774,0.360,-0.872,-0.047,0.466
1665753885784,2022-10-14T15.24.45.784,0.370,-0.868,-0.048,0.474
1665753885795,2022-10-14T15.24.45.795,0.381,-0.866,-0.052,0.487
1665753885803,2022-10-14T15.24.45.803,0.389,-0.867,-0.049,0.493
1665753885814,2022-10-14T15.24.45.814,0.400,-0.865,-0.047,0.501
1665753885824,2022-10-14T15.24.45.824,0.410,-0.864,-0.056,0.507
1665753885834,2022-10-14T15.24.45.834,0.420,-0.866,-0.057,0.509
1665753885844,2022-10-14T15.24.45.844,0.430,-0.864,-0.051,0.502
1665753885855,2022-10-14T15.24.45.855,0.441,-0.865,-0.049,0.498
1665753885863,2022-10-14T15.24.45.863,0.449,-0.870,-0.054,0.493
1665753885874,2022-10-14T15.24.45.874,0.460,-0.871,-0.054,0.482
1665753885884,2022-10-14T15.24.45.884,0.470,-0.869,-0.047,0.475
1665753885894,2022-10-14T15.24.45.894,0.480,-0.868,-0.049,0.467
1665753885904,2022-10-14T15.24.45.904,0.490,-0.873,-0.052,0.462
1665753885915,2022-10-14T15.24.45.915,0.501,-0.873,-0.052,0.458
1665753885925,2022-10-14T15.24.45.925,0.511,-0.872,-0.048,0.462
1665753885934,2022-10-14T15.24.45.934,0.520,-0.867,-0.048,0.474
1665753885944,2022-10-14T15.24.45.944,0.530,-0.864,-0.048,0.480
1665753885954,2022-10-14T15.24.45.954,0.540,-0.867,-0.051,0.489
1665753885965,2022-10-14T15.24.45.965,0.551,-0.867,-0.053,0.497
1665753885975,2022-10-14T15.24.45.975,0.561,-0.866,-0.055,0.504
1665753885985,2022-10-14T15.24.45.985,0.571,-0.867,-0.055,0.507
1665753885994,2022-10-14T15.24.45.994,0.580,-0.867,-0.056,0.505
1665753886004,2022-10-14T15.24.46.004,0.590,-0.868,-0.055,0.495
1665753886014,2022-10-14T15.24.46.014,0.600,-0.867,-0.050,0.493
1665753886025,2022-10-14T15.24.46.025,0.611,-0.865,-0.050,0.487
1665753886035,2022-10-14T15.24.46.035,0.621,-0.870,-0.051,0.476
1665753886045,2022-10-14T15.24.46.045,0.631,-0.870,-0.047,0.463
1665753886054,2022-10-14T15.24.46.054,0.640,-0.870,-0.044,0.459
1665753886064,2022-10-14T15.24.46.064,0.650,-0.871,-0.048,0.464
1665753886074,2022-10-14T15.24.46.074,0.660,-0.869,-0.050,0.470
1665753886085,2022-10-14T15.24.46.085,0.671,-0.871,-0.048,0.477
1665753886095,2022-10-14T15.24.46.095,0.681,-0.872,-0.053,0.481
1665753886105,2022-10-14T15.24.46.105,0.691,-0.869,-0.055,0.490
1665753886115,2022-10-14T15.24.46.115,0.701,-0.868,-0.054,0.497
1665753886124,2022-10-14T15.24.46.124,0.710,-0.869,-0.052,0.502
1665753886134,2022-10-14T15.24.46.134,0.720,-0.867,-0.054,0.501
1665753886145,2022-10-14T15.24.46.145,0.731,-0.866,-0.052,0.500
1665753886155,2022-10-14T15.24.46.155,0.741,-0.866,-0.048,0.501
1665753886165,2022-10-14T15.24.46.165,0.751,-0.867,-0.053,0.490
1665753886175,2022-10-14T15.24.46.175,0.761,-0.872,-0.051,0.480
1665753886184,2022-10-14T15.24.46.184,0.770,-0.873,-0.050,0.470
1665753886195,2022-10-14T15.24.46.195,0.781,-0.873,-0.051,0.470
1665753886205,2022-10-14T15.24.46.205,0.791,-0.868,-0.047,0.471
1665753886215,2022-10-14T15.24.46.215,0.801,-0.865,-0.046,0.471
1665753886225,2022-10-14T15.24.46.225,0.811,-0.867,-0.047,0.471
1665753886236,2022-10-14T15.24.46.236,0.822,-0.868,-0.051,0.479
1665753886244,2022-10-14T15.24.46.244,0.830,-0.871,-0.053,0.486
1665753886255,2022-10-14T15.24.46.255,0.841,-0.868,-0.049,0.492
1665753886265,2022-10-14T15.24.46.265,0.851,-0.865,-0.053,0.496
1665753886275,2022-10-14T15.24.46.275,0.861,-0.871,-0.059,0.498
1665753886285,2022-10-14T15.24.46.285,0.871,-0.871,-0.055,0.493
1665753886296,2022-10-14T15.24.46.296,0.882,-0.863,-0.045,0.490
1665753886304,2022-10-14T15.24.46.304,0.890,-0.866,-0.049,0.490
