epoc (ms),timestamp (+0200),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1665753885424,2022-10-14T15.24.45.424,0.000,2.134,0.000,-0.122
1665753885433,2022-10-14T15.24.45.433,0.009,1.951,0.000,-0.610
1665753885443,2022-10-14T15.24.45.443,0.019,0.854,-0.793,-0.244
1665753885453,2022-10-14T15.24.45.453,0.029,0.244,-1.341,-0.244
1665753885464,2022-10-14T15.24.45.464,0.040,-0.427,-1.707,-0.244
1665753885474,2022-10-14T15.24.45.474,0.050,-1.037,-2.195,-0.305
1665753885484,2022-10-14T15.24.45.484,0.060,-1.159,-2.378,-0.366
1665753885493,2022-10-14T15.24.45.493,0.069,-0.244,-2.012,-0.244
1665753885503,2022-10-14T15.24.45.503,0.079,0.183,-1.707,-0.244
1665753885513,2022-10-14T15.24.45.513,0.089,0.122,-1.524,-0.305
1665753885524,2022-10-14T15.24.45.524,0.100,0.488,-1.098,-0.305
1665753885534,2022-10-14T15.24.45.534,0.110,1.098,-0.305,-0.244
1665753885544,2022-10-14T15.24.45.544,0.120,1.524,0.549,-0.244
1665753885553,2022-10-14T15.24.45.553,0.129,1.890,0.915,-0.244
1665753885563,2022-10-14T15.24.45.563,0.139,2.073,0.915,-0.183
1665753885573,2022-10-14T15.24.45.573,0.149,2.134,0.915,-0.183
1665753885584,2022-10-14T15.24.45.584,0.160,2.256,0.671,-0.061
1665753885594,2022-10-14T15.24.45.594,0.170,1.707,0.061,-0.061
1665753885604,2022-10-14T15.24.45.604,0.180,1.220,-0.549,-0.183
1665753885614,2022-10-14T15.24.45.614,0.190,0.610,-1.159,-0.183
1665753885623,2022-10-14T15.24.45.623,0.199,-0.549,-1.585,-0.427
1665753885633,2022-10-14T15.24.45.633,0.209,-1.341,-1.707,-0.427
1665753885644,2022-10-14T15.24.45.644,0.220,-0.976,-1.829,-0.366
1665753885654,2022-10-14T15.24.45.654,0.230,-0.610,-2.134,-0.366
1665753885664,2022-10-14T15.24.45.664,0.240,-0.183,-1.890,-0.244
1665753885675,2022-10-14T15.24.45.675,0.251,0.366,-0.976,-0.183
1665753885683,2022-10-14T15.24.45.683,0.259,1.098,0.000,-0.305
1665753885694,2022-10-14T15.24.45.694,0.270,1.890,0.610,-0.305
1665753885704,2022-10-14T15.24.45.704,0.280,2.256,0.793,-0.305
1665753885714,2022-10-14T15.24.45.714,0.290,2.439,1.220,-0.366
1665753885724,2022-10-14T15.24.45.724,0.300,2.317,1.524,-0.305
1665753885735,2022-10-14T15.24.45.735,0.311,2.073,0.915,-0.366
1665753885743,2022-10-14T15.24.45.743,0.319,1.768,0.061,-0.366
1665753885754,2022-10-14T15.24.45.754,0.330,1.341,-0.549,-0.244
1665753885764,2022-10-14T15.24.45.764,0.340,0.488,-1.098,-0.244
1665753885774,2022-10-14T15.24.45.774,0.350,-0.366,-2.012,-0.305
1665753885784,2022-10-14T15.24.45.784,0.360,-0.793,-2.683,-0.244
1665753885795,2022-10-14T15.24.45.795,0.371,-1.220,-2.805,-0.305
1665753885803,2022-10-14T15.24.45.803,0.379,-1.280,-2.500,-0.244
1665753885814,2022-10-14T15.24.45.814,0.390,-0.854,-2.195,-0.305
1665753885824,2022-10-14T15.24.45.824,0.400,-0.427,-1.585,-0.427
1665753885834,2022-10-14T15.24.45.834,0.410,0.671,-0.732,-0.366
1665753885844,2022-10-14T15.24.45.844,0.420,1.890,0.061,-0.366
1665753885855,2022-10-14T15.24.45.855,0.431,2.378,0.549,-0.366
1665753885865,2022-10-14T15.24.45.865,0.441,2.256,0.732,-0.366
1665753885874,2022-10-14T15.24.45.874,0.450,2.439,1.220,-0.244
1665753885884,2022-10-14T15.24.45.884,0.460,2.378,1.159,-0.183
1665753885894,2022-10-14T15.24.45.894,0.470,1.829,0.732,-0.305
1665753885904,2022-10-14T15.24.45.904,0.480,1.402,0.183,-0.305
1665753885915,2022-10-14T15.24.45.915,0.491,0.854,-0.366,-0.244
1665753885925,2022-10-14T15.24.45.925,0.501,0.244,-1.463,-0.244
1665753885934,2022-10-14T15.24.45.934,0.510,-0.305,-2.378,-0.244
1665753885944,2022-10-14T15.24.45.944,0.520,-0.793,-2.500,-0.366
1665753885954,2022-10-14T15.24.45.954,0.530,-1.159,-2.195,-0.305
1665753885965,2022-10-14T15.24.45.965,0.541,-1.159,-2.134,-0.244
1665753885975,2022-10-14T15.24.45.975,0.551,-0.854,-1.890,-0.305
1665753885985,2022-10-14T15.24.45.985,0.561,0.122,-1.037,-0.244
1665753885994,2022-10-14T15.24.45.994,0.570,1.159,0.000,-0.244
1665753886004,2022-10-14T15.24.46.004,0.580,2.012,0.610,-0.183
1665753886014,2022-10-14T15.24.46.014,0.590,2.805,0.610,-0.183
1665753886025,2022-10-14T15.24.46.025,0.601,2.927,0.915,-0.183
1665753886035,2022-10-14T15.24.46.035,0.611,2.866,1.402,-0.183
1665753886045,2022-10-14T15.24.46.045,0.621,2.439,1.280,-0.183
1665753886055,2022-10-14T15.24.46.055,0.631,1.585,0.061,-0.305
1665753886064,2022-10-14T15.24.46.064,0.640,0.305,-1.098,-0.366
1665753886074,2022-10-14T15.24.46.074,0.650,-0.366,-1.524,-0.305
1665753886085,2022-10-14T15.24.46.085,0.661,-0.854,-1.768,-0.305
1665753886095,2022-10-14T15.24.46.095,0.671,-1.280,-2.073,-0.305
1665753886105,2022-10-14T15.24.46.105,0.681,-0.854,-2.195,-0.305
1665753886115,2022-10-14T15.24.46.115,0.691,-0.305,-1.646,-0.244
1665753886124,2022-10-14T15.24.46.124,0.700,-0.061,-1.098,-0.244
1665753886134,2022-10-14T15.24.46.134,0.710,0.427,-0.793,-0.244
1665753886145,2022-10-14T15.24.46.145,0.721,1.402,-0.366,-0.183
1665753886155,2022-10-14T15.24.46.155,0.731,2.134,0.244,-0.244
1665753886165,2022-10-14T15.24.46.165,0.741,2.256,0.915,-0.244
1665753886175,2022-10-14T15.24.46.175,0.751,2.317,1.280,-0.244
1665753886184,2022-10-14T15.24.46.184,0.760,1.951,0.976,-0.183
1665753886195,2022-10-14T15.24.46.195,0.771,1.585,0.061,-0.244
1665753886205,2022-10-14T15.24.46.205,0.781,1.280,-0.366,-0.244
1665753886215,2022-10-14T15.24.46.215,0.791,0.610,-0.549,-0.305
1665753886225,2022-10-14T15.24.46.225,0.801,-0.061,-0.854,-0.305
1665753886236,2022-10-14T15.24.46.236,0.812,-0.244,-1.280,-0.427
1665753886244,2022-10-14T15.24.46.244,0.820,-0.671,-1.707,-0.366
1665753886255,2022-10-14T15.24.46.255,0.831,-0.549,-1.707,-0.305
1665753886265,2022-10-14T15.24.46.265,0.841,-0.122,-1.220,-0.305
1665753886275,2022-10-14T15.24.46.275,0.851,0.549,-0.549,-0.366
1665753886285,2022-10-14T15.24.46.285,0.861,1.463,-0.244,-0.183
1665753886296,2022-10-14T15.24.46.296,0.872,1.768,-0.244,-0.305
1665753886306,2022-10-14T15.24.46.306,0.882,1.341,-0.183,-0.366
1665753886315,2022-10-14T15.24.46.315,0.891,1.463,0.183,-0.305
1665753886325,2022-10-14T15.24.46.325,0.901,1.646,0.488,-0.244
1665753886335,2022-10-14T15.24.46.335,0.911,1.463,0.244,-0.366
1665753886345,2022-10-14T15.24.46.345,0.921,0.976,-0.244,-0.427
1665753886356,2022-10-14T15.24.46.356,0.932,0.671,-0.610,-0.305
1665753886366,2022-10-14T15.24.46.366,0.942,0.549,-0.793,-0.305
1665753886375,2022-10-14T15.24.46.375,0.951,0.305,-1.037,-0.305
1665753886385,2022-10-14T15.24.46.385,0.961,0.488,-1.220,-0.305
1665753886395,2022-10-14T15.24.46.395,0.971,0.427,-1.159,-0.244
1665753886405,2022-10-14T15.24.46.405,0.981,0.244,-1.098,-0.244
1665753886416,2022-10-14T15.24.46.416,0.992,0.305,-1.159,-0.305
1665753886426,2022-10-14T15.24.46.426,1.002,0.549,-1.098,-0.305
1665753886435,2022-10-14T15.24.46.435,1.011,0.671,-1.037,-0.305
1665753886445,2022-10-14T15.24.46.445,1.021,0.305,-0.976,-0.366
1665753886455,2022-10-14T15.24.46.455,1.031,0.732,-0.244,-0.427
1665753886466,2022-10-14T15.24.46.466,1.042,1.402,0.488,-0.305
1665753886476,2022-10-14T15.24.46.476,1.052,1.646,0.244,-0.305
1665753886486,2022-10-14T15.24.46.486,1.062,1.585,-0.305,-0.244
1665753886496,2022-10-14T15.24.46.496,1.072,1.463,-0.366,-0.122
1665753886505,2022-10-14T15.24.46.505,1.081,1.159,-0.305,-0.122
1665753886515,2022-10-14T15.24.46.515,1.091,1.098,-0.366,-0.183
1665753886526,2022-10-14T15.24.46.526,1.102,1.037,-0.854,-0.244
1665753886536,2022-10-14T15.24.46.536,1.112,0.244,-1.341,-0.244
1665753886546,2022-10-14T15.24.46.546,1.122,-0.427,-1.402,-0.305
1665753886556,2022-10-14T15.24.46.556,1.132,-0.549,-1.280,-0.427
1665753886565,2022-10-14T15.24.46.565,1.141,-0.183,-1.098,-0.427
1665753886575,2022-10-14T15.24.46.575,1.151,0.488,-0.854,-0.366
1665753886586,2022-10-14T15.24.46.586,1.162,0.793,-0.427,-0.244
1665753886596,2022-10-14T15.24.46.596,1.172,1.159,-0.061,-0.244
1665753886606,2022-10-14T15.24.46.606,1.182,1.524,0.061,-0.305
1665753886616,2022-10-14T15.24.46.616,1.192,1.890,0.366,-0.366
1665753886625,2022-10-14T15.24.46.625,1.201,1.890,0.488,-0.244
1665753886635,2022-10-14T15.24.46.635,1.211,1.585,0.122,-0.305
1665753886646,2022-10-14T15.24.46.646,1.222,1.037,-0.183,-0.427
1665753886656,2022-10-14T15.24.46.656,1.232,0.366,-0.244,-0.488
1665753886666,2022-10-14T15.24.46.666,1.242,0.122,-0.122,-0.366
1665753886676,2022-10-14T15.24.46.676,1.252,0.427,-0.427,-0.244
1665753886685,2022-10-14T15.24.46.685,1.261,0.488,-1.159,-0.244
1665753886696,2022-10-14T15.24.46.696,1.272,0.488,-1.220,-0.305
1665753886706,2022-10-14T15.24.46.706,1.282,0.488,-0.793,-0.244
1665753886716,2022-10-14T15.24.46.716,1.292,0.671,-0.732,-0.183
1665753886726,2022-10-14T15.24.46.726,1.302,0.854,-1.037,-0.244
1665753886737,2022-10-14T15.24.46.737,1.313,0.793,-1.037,-0.244
1665753886747,2022-10-14T15.24.46.747,1.323,0.427,-0.488,-0.244
1665753886756,2022-10-14T15.24.46.756,1.332,0.549,-0.244,-0.244
1665753886766,2022-10-14T15.24.46.766,1.342,0.671,-0.488,-0.366
1665753886776,2022-10-14T15.24.46.776,1.352,1.037,-0.427,-0.366
1665753886786,2022-10-14T15.24.46.786,1.362,1.402,-0.061,-0.305
1665753886797,2022-10-14T15.24.46.797,1.373,1.402,0.244,-0.305
1665753886807,2022-10-14T15.24.46.807,1.383,1.280,-0.183,-0.366
1665753886816,2022-10-14T15.24.46.816,1.392,1.098,-0.488,-0.366
1665753886826,2022-10-14T15.24.46.826,1.402,0.793,-0.427,-0.366
1665753886836,2022-10-14T15.24.46.836,1.412,0.549,-0.244,-0.305
1665753886846,2022-10-14T15.24.46.846,1.422,0.549,-0.488,-0.305
1665753886857,2022-10-14T15.24.46.857,1.433,0.793,-0.793,-0.305
1665753886867,2022-10-14T15.24.46.867,1.443,0.732,-0.732,-0.244
1665753886876,2022-10-14T15.24.46.876,1.452,0.732,-0.549,-0.183
1665753886886,2022-10-14T15.24.46.886,1.462,0.488,-0.793,-0.244
1665753886896,2022-10-14T15.24.46.896,1.472,0.671,-0.915,-0.244
1665753886906,2022-10-14T15.24.46.906,1.482,1.098,-0.793,-0.183
1665753886917,2022-10-14T15.24.46.917,1.493,0.854,-0.427,-0.244
1665753886927,2022-10-14T15.24.46.927,1.503,0.732,-0.671,-0.244
1665753886937,2022-10-14T15.24.46.937,1.513,0.610,-1.037,-0.305
1665753886946,2022-10-14T15.24.46.946,1.522,0.671,-1.098,-0.305
1665753886956,2022-10-14T15.24.46.956,1.532,0.671,-0.732,-0.244
1665753886967,2022-10-14T15.24.46.967,1.543,0.793,-0.610,-0.244
1665753886977,2022-10-14T15.24.46.977,1.553,0.793,-0.671,-0.366
1665753886987,2022-10-14T15.24.46.987,1.563,1.037,-0.305,-0.549
