epoc (ms),timestamp (+0200),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1665755221478,2022-10-14T15.47.01.478,0.000,-0.714,-0.088,0.712
1665755221488,2022-10-14T15.47.01.488,0.010,-0.717,-0.090,0.712
1665755221498,2022-10-14T15.47.01.498,0.020,-0.722,-0.095,0.683
1665755221509,2022-10-14T15.47.01.509,0.031,-0.734,-0.100,0.654
1665755221519,2022-10-14T15.47.01.519,0.041,-0.736,-0.095,0.654
1665755221529,2022-10-14T15.47.01.529,0.051,-0.733,-0.065,0.658
1665755221539,2022-10-14T15.47.01.539,0.061,-0.735,-0.035,0.729
1665755221550,2022-10-14T15.47.01.550,0.072,-0.689,-0.048,0.737
1665755221560,2022-10-14T15.47.01.560,0.082,-0.685,-0.046,0.712
1665755221570,2022-10-14T15.47.01.570,0.092,-0.687,-0.041,0.727
1665755221580,2022-10-14T15.47.01.580,0.102,-0.728,-0.072,0.666
1665755221591,2022-10-14T15.47.01.591,0.113,-0.735,-0.086,0.668
1665755221600,2022-10-14T15.47.01.600,0.122,-0.740,-0.094,0.655
1665755221610,2022-10-14T15.47.01.610,0.132,-0.719,-0.081,0.673
1665755221620,2022-10-14T15.47.01.620,0.142,-0.708,-0.059,0.693
1665755221630,2022-10-14T15.47.01.630,0.152,-0.707,-0.057,0.731
1665755221641,2022-10-14T15.47.01.641,0.163,-0.720,-0.070,0.708
1665755221651,2022-10-14T15.47.01.651,0.173,-0.732,-0.081,0.657
1665755221661,2022-10-14T15.47.01.661,0.183,-0.723,-0.081,0.669
1665755221671,2022-10-14T15.47.01.671,0.193,-0.734,-0.089,0.658
1665755221682,2022-10-14T15.47.01.682,0.204,-0.722,-0.079,0.686
1665755221692,2022-10-14T15.47.01.692,0.214,-0.710,-0.064,0.721
1665755221702,2022-10-14T15.47.01.702,0.224,-0.712,-0.064,0.695
1665755221712,2022-10-14T15.47.01.712,0.234,-0.708,-0.065,0.730
1665755221721,2022-10-14T15.47.01.721,0.243,-0.713,-0.069,0.714
1665755221731,2022-10-14T15.47.01.731,0.253,-0.719,-0.073,0.682
1665755221742,2022-10-14T15.47.01.742,0.264,-0.711,-0.072,0.702
1665755221752,2022-10-14T15.47.01.752,0.274,-0.730,-0.072,0.647
1665755221762,2022-10-14T15.47.01.762,0.284,-0.734,-0.075,0.630
1665755221772,2022-10-14T15.47.01.772,0.294,-0.721,-0.082,0.683
1665755221783,2022-10-14T15.47.01.783,0.305,-0.714,-0.087,0.714
1665755221793,2022-10-14T15.47.01.793,0.315,-0.715,-0.086,0.741
1665755221803,2022-10-14T15.47.01.803,0.325,-0.710,-0.083,0.797
1665755221813,2022-10-14T15.47.01.813,0.335,-0.706,-0.076,0.806
1665755221824,2022-10-14T15.47.01.824,0.346,-0.712,-0.075,0.764
1665755221834,2022-10-14T15.47.01.834,0.356,-0.706,-0.051,0.789
1665755221843,2022-10-14T15.47.01.843,0.365,-0.724,-0.058,0.629
1665755221853,2022-10-14T15.47.01.853,0.375,-0.729,-0.093,0.629
1665755221863,2022-10-14T15.47.01.863,0.385,-0.733,-0.073,0.672
1665755221873,2022-10-14T15.47.01.873,0.395,-0.779,-0.098,0.485
1665755221884,2022-10-14T15.47.01.884,0.406,-0.731,-0.050,0.624
1665755221894,2022-10-14T15.47.01.894,0.416,-0.759,-0.036,0.512
1665755221904,2022-10-14T15.47.01.904,0.426,-0.760,-0.015,0.476
1665755221914,2022-10-14T15.47.01.914,0.436,-0.728,-0.021,0.642
1665755221925,2022-10-14T15.47.01.925,0.447,-0.729,-0.029,0.682
1665755221935,2022-10-14T15.47.01.935,0.457,-0.700,-0.051,0.814
1665755221945,2022-10-14T15.47.01.945,0.467,-0.686,-0.075,0.927
1665755221955,2022-10-14T15.47.01.955,0.477,-0.696,-0.106,0.865
1665755221964,2022-10-14T15.47.01.964,0.486,-0.709,-0.132,0.768
1665755221975,2022-10-14T15.47.01.975,0.497,-0.741,-0.143,0.634
1665755221985,2022-10-14T15.47.01.985,0.507,-0.750,-0.133,0.497
1665755221995,2022-10-14T15.47.01.995,0.517,-0.750,-0.098,0.505
1665755222005,2022-10-14T15.47.02.005,0.527,-0.750,-0.075,0.575
1665755222016,2022-10-14T15.47.02.016,0.538,-0.728,-0.094,0.634
1665755222026,2022-10-14T15.47.02.026,0.548,-0.701,-0.101,0.773
1665755222036,2022-10-14T15.47.02.036,0.558,-0.732,-0.075,0.784
1665755222046,2022-10-14T15.47.02.046,0.568,-0.718,-0.018,0.835
1665755222057,2022-10-14T15.47.02.057,0.579,-0.708,-0.006,0.758
1665755222067,2022-10-14T15.47.02.067,0.589,-0.699,-0.030,0.653
1665755222076,2022-10-14T15.47.02.076,0.598,-0.702,-0.079,0.659
1665755222086,2022-10-14T15.47.02.086,0.608,-0.735,-0.125,0.636
1665755222096,2022-10-14T15.47.02.096,0.618,-0.742,-0.118,0.679
1665755222106,2022-10-14T15.47.02.106,0.628,-0.740,-0.098,0.744
1665755222117,2022-10-14T15.47.02.117,0.639,-0.719,-0.083,0.717
1665755222127,2022-10-14T15.47.02.127,0.649,-0.719,-0.085,0.659
1665755222137,2022-10-14T15.47.02.137,0.659,-0.732,-0.089,0.649
1665755222147,2022-10-14T15.47.02.147,0.669,-0.741,-0.099,0.648
1665755222158,2022-10-14T15.47.02.158,0.680,-0.726,-0.087,0.676
1665755222168,2022-10-14T15.47.02.168,0.690,-0.717,-0.044,0.695
1665755222178,2022-10-14T15.47.02.178,0.700,-0.719,0.004,0.679
1665755222188,2022-10-14T15.47.02.188,0.710,-0.694,0.003,0.732
1665755222197,2022-10-14T15.47.02.197,0.719,-0.686,-0.036,0.731
1665755222207,2022-10-14T15.47.02.207,0.729,-0.724,-0.067,0.681
1665755222218,2022-10-14T15.47.02.218,0.740,-0.739,-0.103,0.719
1665755222228,2022-10-14T15.47.02.228,0.750,-0.731,-0.143,0.734
1665755222238,2022-10-14T15.47.02.238,0.760,-0.716,-0.130,0.713
1665755222248,2022-10-14T15.47.02.248,0.770,-0.724,-0.067,0.687
1665755222259,2022-10-14T15.47.02.259,0.781,-0.736,-0.037,0.619
1665755222269,2022-10-14T15.47.02.269,0.791,-0.729,-0.044,0.548
1665755222279,2022-10-14T15.47.02.279,0.801,-0.744,-0.060,0.548
1665755222289,2022-10-14T15.47.02.289,0.811,-0.729,-0.078,0.645
1665755222300,2022-10-14T15.47.02.300,0.822,-0.710,-0.101,0.766
1665755222310,2022-10-14T15.47.02.310,0.832,-0.685,-0.123,0.871
1665755222319,2022-10-14T15.47.02.319,0.841,-0.679,-0.124,0.879
1665755222329,2022-10-14T15.47.02.329,0.851,-0.699,-0.068,0.868
1665755222339,2022-10-14T15.47.02.339,0.861,-0.732,-0.055,0.730
1665755222350,2022-10-14T15.47.02.350,0.872,-0.718,-0.073,0.612
1665755222360,2022-10-14T15.47.02.360,0.882,-0.721,-0.057,0.577
1665755222370,2022-10-14T15.47.02.370,0.892,-0.722,-0.045,0.563
1665755222380,2022-10-14T15.47.02.380,0.902,-0.713,-0.061,0.643
1665755222391,2022-10-14T15.47.02.391,0.913,-0.716,-0.097,0.746
1665755222401,2022-10-14T15.47.02.401,0.923,-0.712,-0.081,0.812
1665755222411,2022-10-14T15.47.02.411,0.933,-0.702,-0.074,0.806
1665755222421,2022-10-14T15.47.02.421,0.943,-0.719,-0.055,0.696
1665755222430,2022-10-14T15.47.02.430,0.952,-0.730,-0.071,0.590
1665755222440,2022-10-14T15.47.02.440,0.962,-0.721,-0.071,0.629
1665755222451,2022-10-14T15.47.02.451,0.973,-0.740,-0.089,0.581
1665755222461,2022-10-14T15.47.02.461,0.983,-0.725,-0.096,0.681
1665755222471,2022-10-14T15.47.02.471,0.993,-0.700,-0.080,0.839
1665755222481,2022-10-14T15.47.02.481,1.003,-0.712,-0.078,0.811
1665755222492,2022-10-14T15.47.02.492,1.014,-0.706,-0.087,0.773
1665755222502,2022-10-14T15.47.02.502,1.024,-0.725,-0.108,0.689
1665755222512,2022-10-14T15.47.02.512,1.034,-0.745,-0.109,0.579
1665755222522,2022-10-14T15.47.02.522,1.044,-0.744,-0.101,0.557
1665755222533,2022-10-14T15.47.02.533,1.055,-0.742,-0.093,0.613
1665755222543,2022-10-14T15.47.02.543,1.065,-0.730,-0.039,0.644
1665755222552,2022-10-14T15.47.02.552,1.074,-0.749,-0.028,0.729
1665755222562,2022-10-14T15.47.02.562,1.084,-0.678,-0.031,0.817
1665755222572,2022-10-14T15.47.02.572,1.094,-0.676,-0.043,0.789
1665755222582,2022-10-14T15.47.02.582,1.104,-0.710,-0.052,0.656
1665755222593,2022-10-14T15.47.02.593,1.115,-0.719,-0.068,0.620
1665755222603,2022-10-14T15.47.02.603,1.125,-0.727,-0.078,0.645
1665755222613,2022-10-14T15.47.02.613,1.135,-0.735,-0.087,0.703
1665755222623,2022-10-14T15.47.02.623,1.145,-0.720,-0.080,0.749
1665755222634,2022-10-14T15.47.02.634,1.156,-0.719,-0.066,0.725
1665755222644,2022-10-14T15.47.02.644,1.166,-0.707,-0.062,0.706
