epoc (ms),timestamp (+0200),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1665755221498,2022-10-14T15.47.01.498,0.000,-3.354,2.012,0.549
1665755221509,2022-10-14T15.47.01.509,0.011,-3.659,1.646,0.427
1665755221519,2022-10-14T15.47.01.519,0.021,-2.439,0.366,1.220
1665755221529,2022-10-14T15.47.01.529,0.031,-1.280,-0.549,1.829
1665755221539,2022-10-14T15.47.01.539,0.041,1.402,-1.098,2.683
1665755221550,2022-10-14T15.47.01.550,0.052,0.366,0.122,2.378
1665755221560,2022-10-14T15.47.01.560,0.062,-0.793,0.915,1.341
1665755221570,2022-10-14T15.47.01.570,0.072,-0.610,1.768,-0.122
1665755221580,2022-10-14T15.47.01.580,0.082,-0.854,3.110,-1.159
1665755221591,2022-10-14T15.47.01.591,0.093,-0.366,1.341,-1.280
1665755221601,2022-10-14T15.47.01.601,0.103,-0.793,0.915,-0.549
1665755221610,2022-10-14T15.47.01.610,0.112,0.732,-0.549,0.061
1665755221620,2022-10-14T15.47.01.620,0.122,2.561,-0.183,0.000
1665755221630,2022-10-14T15.47.01.630,0.132,1.646,-0.244,-0.610
1665755221641,2022-10-14T15.47.01.641,0.143,-0.915,1.402,-0.854
1665755221651,2022-10-14T15.47.01.651,0.153,-2.012,1.463,-0.793
1665755221661,2022-10-14T15.47.01.661,0.163,-1.098,-0.122,-0.610
1665755221671,2022-10-14T15.47.01.671,0.173,-0.854,-0.305,-0.305
1665755221682,2022-10-14T15.47.01.682,0.184,0.671,-1.585,-0.061
1665755221692,2022-10-14T15.47.01.692,0.194,0.854,-0.976,0.061
1665755221702,2022-10-14T15.47.01.702,0.204,0.366,-0.061,-0.183
1665755221712,2022-10-14T15.47.01.712,0.214,0.732,-0.183,-0.854
1665755221721,2022-10-14T15.47.01.721,0.223,0.122,1.402,-1.098
1665755221731,2022-10-14T15.47.01.731,0.233,-0.122,1.890,-1.037
1665755221742,2022-10-14T15.47.01.742,0.244,0.000,1.280,-1.159
1665755221752,2022-10-14T15.47.01.752,0.254,-0.549,1.951,-1.220
