epoc (ms),timestamp (+0200),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1665755221947,2022-10-14T15.47.01.947,0.000,-0.700,-0.132,0.786
1665755221957,2022-10-14T15.47.01.957,0.010,-0.718,-0.203,0.925
1665755221967,2022-10-14T15.47.01.967,0.020,-0.740,-0.217,0.983
1665755221976,2022-10-14T15.47.01.976,0.029,-0.738,-0.158,0.955
1665755221986,2022-10-14T15.47.01.986,0.039,-0.694,-0.089,0.865
1665755221997,2022-10-14T15.47.01.997,0.050,-0.639,-0.015,0.791
1665755222007,2022-10-14T15.47.02.007,0.060,-0.673,-0.032,0.730
1665755222017,2022-10-14T15.47.02.017,0.070,-0.735,-0.112,0.691
1665755222027,2022-10-14T15.47.02.027,0.080,-0.748,-0.121,0.635
1665755222036,2022-10-14T15.47.02.036,0.089,-0.757,-0.070,0.598
1665755222046,2022-10-14T15.47.02.046,0.099,-0.728,-0.010,0.562
1665755222057,2022-10-14T15.47.02.057,0.110,-0.633,0.063,0.549
1665755222067,2022-10-14T15.47.02.067,0.120,-0.655,0.032,0.506
1665755222077,2022-10-14T15.47.02.077,0.130,-0.744,-0.062,0.549
1665755222087,2022-10-14T15.47.02.087,0.140,-0.767,-0.137,0.667
1665755222098,2022-10-14T15.47.02.098,0.151,-0.763,-0.158,0.837
1665755222106,2022-10-14T15.47.02.106,0.159,-0.714,-0.134,0.934
1665755222117,2022-10-14T15.47.02.117,0.170,-0.663,-0.097,0.911
1665755222127,2022-10-14T15.47.02.127,0.180,-0.688,-0.082,0.841
1665755222137,2022-10-14T15.47.02.137,0.190,-0.716,-0.079,0.787
1665755222147,2022-10-14T15.47.02.147,0.200,-0.723,-0.075,0.745
1665755222158,2022-10-14T15.47.02.158,0.211,-0.711,-0.066,0.681
1665755222166,2022-10-14T15.47.02.166,0.219,-0.700,-0.025,0.604
1665755222177,2022-10-14T15.47.02.177,0.230,-0.672,0.046,0.571
1665755222187,2022-10-14T15.47.02.187,0.240,-0.625,0.044,0.568
1665755222197,2022-10-14T15.47.02.197,0.250,-0.665,0.003,0.575
1665755222208,2022-10-14T15.47.02.208,0.261,-0.740,-0.052,0.597
1665755222218,2022-10-14T15.47.02.218,0.271,-0.787,-0.125,0.658
1665755222227,2022-10-14T15.47.02.227,0.280,-0.776,-0.165,0.753
1665755222237,2022-10-14T15.47.02.237,0.290,-0.722,-0.137,0.827
1665755222247,2022-10-14T15.47.02.247,0.300,-0.680,-0.064,0.860
1665755222257,2022-10-14T15.47.02.257,0.310,-0.649,-0.040,0.826
1665755222268,2022-10-14T15.47.02.268,0.321,-0.648,-0.032,0.764
1665755222278,2022-10-14T15.47.02.278,0.331,-0.698,-0.030,0.708
1665755222287,2022-10-14T15.47.02.287,0.340,-0.731,-0.043,0.664
1665755222297,2022-10-14T15.47.02.297,0.350,-0.738,-0.080,0.634
1665755222307,2022-10-14T15.47.02.307,0.360,-0.745,-0.133,0.628
1665755222317,2022-10-14T15.47.02.317,0.370,-0.752,-0.143,0.677
1665755222328,2022-10-14T15.47.02.328,0.381,-0.738,-0.102,0.718
1665755222338,2022-10-14T15.47.02.338,0.391,-0.711,-0.046,0.731
1665755222347,2022-10-14T15.47.02.347,0.400,-0.676,-0.026,0.714
1665755222357,2022-10-14T15.47.02.357,0.410,-0.650,-0.002,0.688
1665755222367,2022-10-14T15.47.02.367,0.420,-0.635,0.007,0.700
1665755222377,2022-10-14T15.47.02.377,0.430,-0.672,-0.072,0.777
1665755222388,2022-10-14T15.47.02.388,0.441,-0.705,-0.119,0.894
1665755222398,2022-10-14T15.47.02.398,0.451,-0.728,-0.130,0.857
1665755222408,2022-10-14T15.47.02.408,0.461,-0.710,-0.083,0.785
1665755222417,2022-10-14T15.47.02.417,0.470,-0.695,-0.059,0.678
1665755222427,2022-10-14T15.47.02.427,0.480,-0.688,-0.011,0.667
1665755222437,2022-10-14T15.47.02.437,0.490,-0.696,-0.030,0.613
1665755222448,2022-10-14T15.47.02.448,0.501,-0.730,-0.042,0.565
1665755222458,2022-10-14T15.47.02.458,0.511,-0.752,-0.074,0.560
1665755222468,2022-10-14T15.47.02.468,0.521,-0.743,-0.082,0.638
1665755222477,2022-10-14T15.47.02.477,0.530,-0.703,-0.080,0.733
1665755222487,2022-10-14T15.47.02.487,0.540,-0.705,-0.108,0.765
1665755222498,2022-10-14T15.47.02.498,0.551,-0.723,-0.114,0.768
1665755222508,2022-10-14T15.47.02.508,0.561,-0.721,-0.101,0.748
1665755222518,2022-10-14T15.47.02.518,0.571,-0.721,-0.072,0.743
1665755222528,2022-10-14T15.47.02.528,0.581,-0.709,-0.065,0.744
1665755222537,2022-10-14T15.47.02.537,0.590,-0.750,-0.047,0.721
1665755222547,2022-10-14T15.47.02.547,0.600,-0.697,0.010,0.774
1665755222558,2022-10-14T15.47.02.558,0.611,-0.648,-0.078,0.702
1665755222568,2022-10-14T15.47.02.568,0.621,-0.650,-0.007,0.712
1665755222578,2022-10-14T15.47.02.578,0.631,-0.656,-0.024,0.645
1665755222588,2022-10-14T15.47.02.588,0.641,-0.688,-0.022,0.626
1665755222597,2022-10-14T15.47.02.597,0.650,-0.722,-0.062,0.614
1665755222607,2022-10-14T15.47.02.607,0.660,-0.737,-0.066,0.680
1665755222618,2022-10-14T15.47.02.618,0.671,-0.736,-0.084,0.723
1665755222628,2022-10-14T15.47.02.628,0.681,-0.703,-0.065,0.752
1665755222638,2022-10-14T15.47.02.638,0.691,-0.681,-0.058,0.760
1665755222648,2022-10-14T15.47.02.648,0.701,-0.695,-0.064,0.770
1665755222659,2022-10-14T15.47.02.659,0.712,-0.708,-0.080,0.780
1665755222667,2022-10-14T15.47.02.667,0.720,-0.702,-0.073,0.755
1665755222678,2022-10-14T15.47.02.678,0.731,-0.695,-0.060,0.718
1665755222688,2022-10-14T15.47.02.688,0.741,-0.705,-0.057,0.672
1665755222698,2022-10-14T15.47.02.698,0.751,-0.728,-0.049,0.640
1665755222708,2022-10-14T15.47.02.708,0.761,-0.738,-0.061,0.611
1665755222719,2022-10-14T15.47.02.719,0.772,-0.734,-0.053,0.609
1665755222728,2022-10-14T15.47.02.728,0.781,-0.722,-0.052,0.624
1665755222738,2022-10-14T15.47.02.738,0.791,-0.704,-0.047,0.654
1665755222748,2022-10-14T15.47.02.748,0.801,-0.690,-0.045,0.688
1665755222758,2022-10-14T15.47.02.758,0.811,-0.708,-0.065,0.722
1665755222769,2022-10-14T15.47.02.769,0.822,-0.718,-0.081,0.766
1665755222779,2022-10-14T15.47.02.779,0.832,-0.720,-0.090,0.796
1665755222788,2022-10-14T15.47.02.788,0.841,-0.708,-0.087,0.813
1665755222798,2022-10-14T15.47.02.798,0.851,-0.695,-0.075,0.812
1665755222808,2022-10-14T15.47.02.808,0.861,-0.702,-0.066,0.782
1665755222818,2022-10-14T15.47.02.818,0.871,-0.687,-0.053,0.733
1665755222829,2022-10-14T15.47.02.829,0.882,-0.706,-0.057,0.691
1665755222839,2022-10-14T15.47.02.839,0.892,-0.721,-0.054,0.615
1665755222849,2022-10-14T15.47.02.849,0.902,-0.709,-0.029,0.576
1665755222858,2022-10-14T15.47.02.858,0.911,-0.710,-0.024,0.564
1665755222868,2022-10-14T15.47.02.868,0.921,-0.705,-0.022,0.594
1665755222878,2022-10-14T15.47.02.878,0.931,-0.704,-0.043,0.611
1665755222889,2022-10-14T15.47.02.889,0.942,-0.731,-0.066,0.667
1665755222899,2022-10-14T15.47.02.899,0.952,-0.747,-0.083,0.725
1665755222909,2022-10-14T15.47.02.909,0.962,-0.733,-0.097,0.771
1665755222918,2022-10-14T15.47.02.918,0.971,-0.719,-0.092,0.771
1665755222928,2022-10-14T15.47.02.928,0.981,-0.712,-0.068,0.758
1665755222938,2022-10-14T15.47.02.938,0.991,-0.704,-0.072,0.759
1665755222949,2022-10-14T15.47.02.949,1.002,-0.719,-0.090,0.774
1665755222959,2022-10-14T15.47.02.959,1.012,-0.728,-0.090,0.754
1665755222969,2022-10-14T15.47.02.969,1.022,-0.723,-0.074,0.701
1665755222978,2022-10-14T15.47.02.978,1.031,-0.720,-0.047,0.666
1665755222988,2022-10-14T15.47.02.988,1.041,-0.691,-0.031,0.663
1665755222999,2022-10-14T15.47.02.999,1.052,-0.678,-0.033,0.667
