epoc (ms),timestamp (+0200),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1665755221947,2022-10-14T15.47.01.947,0.000,-31.829,-23.354,-3.720
1665755221957,2022-10-14T15.47.01.957,0.010,-29.634,-22.134,-2.927
1665755221967,2022-10-14T15.47.01.967,0.020,-18.902,-11.829,-1.280
1665755221976,2022-10-14T15.47.01.976,0.029,-3.537,0.427,1.098
1665755221986,2022-10-14T15.47.01.986,0.039,9.207,6.768,2.622
1665755221997,2022-10-14T15.47.01.997,0.050,16.768,9.207,1.829
1665755222007,2022-10-14T15.47.02.007,0.060,17.195,9.024,-1.098
1665755222017,2022-10-14T15.47.02.017,0.070,15.366,8.171,-2.012
1665755222027,2022-10-14T15.47.02.027,0.080,16.768,7.012,-0.732
1665755222036,2022-10-14T15.47.02.036,0.089,16.890,4.024,0.305
1665755222046,2022-10-14T15.47.02.046,0.099,14.756,0.793,0.854
1665755222057,2022-10-14T15.47.02.057,0.110,7.500,-0.549,0.488
1665755222067,2022-10-14T15.47.02.067,0.120,-7.683,-1.768,-1.402
1665755222077,2022-10-14T15.47.02.077,0.130,-18.902,-9.634,-2.866
1665755222087,2022-10-14T15.47.02.087,0.140,-23.110,-19.146,-2.561
1665755222098,2022-10-14T15.47.02.098,0.151,-18.415,-22.012,-1.280
1665755222106,2022-10-14T15.47.02.106,0.159,-10.549,-13.841,0.793
1665755222117,2022-10-14T15.47.02.117,0.170,-2.195,-1.402,1.951
1665755222127,2022-10-14T15.47.02.127,0.180,5.366,5.671,1.768
1665755222137,2022-10-14T15.47.02.137,0.190,11.463,7.073,1.341
1665755222147,2022-10-14T15.47.02.147,0.200,13.963,7.378,1.220
1665755222158,2022-10-14T15.47.02.158,0.211,13.293,8.780,1.524
1665755222166,2022-10-14T15.47.02.166,0.219,12.866,8.171,1.524
1665755222177,2022-10-14T15.47.02.177,0.230,13.049,3.476,0.549
1665755222187,2022-10-14T15.47.02.187,0.240,6.829,-1.646,-1.098
1665755222197,2022-10-14T15.47.02.197,0.250,-2.500,-3.963,-2.866
1665755222208,2022-10-14T15.47.02.208,0.261,-10.732,-6.890,-3.720
1665755222218,2022-10-14T15.47.02.218,0.271,-14.329,-11.768,-3.476
1665755222227,2022-10-14T15.47.02.227,0.280,-14.207,-15.122,-1.707
1665755222237,2022-10-14T15.47.02.237,0.290,-11.341,-12.622,0.488
1665755222247,2022-10-14T15.47.02.247,0.300,-5.549,-6.098,1.585
1665755222257,2022-10-14T15.47.02.257,0.310,1.098,0.244,1.037
1665755222268,2022-10-14T15.47.02.268,0.321,9.573,3.720,-0.366
1665755222278,2022-10-14T15.47.02.278,0.331,15.183,3.902,-1.829
1665755222287,2022-10-14T15.47.02.287,0.340,15.244,2.744,-2.317
1665755222297,2022-10-14T15.47.02.297,0.350,10.000,0.854,-2.134
1665755222307,2022-10-14T15.47.02.307,0.360,2.500,-2.988,-1.280
1665755222317,2022-10-14T15.47.02.317,0.370,-2.317,-6.707,0.305
1665755222328,2022-10-14T15.47.02.328,0.381,-5.427,-6.098,2.378
1665755222338,2022-10-14T15.47.02.338,0.391,-4.512,-2.561,3.537
1665755222347,2022-10-14T15.47.02.347,0.400,-7.256,1.402,3.598
1665755222357,2022-10-14T15.47.02.357,0.410,-8.171,2.317,2.866
1665755222367,2022-10-14T15.47.02.367,0.420,-8.537,-2.256,0.793
1665755222377,2022-10-14T15.47.02.377,0.430,-6.098,-9.085,-1.646
1665755222388,2022-10-14T15.47.02.388,0.441,-0.061,-7.012,-1.890
1665755222398,2022-10-14T15.47.02.398,0.451,4.146,5.000,-0.366
1665755222408,2022-10-14T15.47.02.408,0.461,8.598,12.012,0.854
1665755222417,2022-10-14T15.47.02.417,0.470,11.524,10.854,0.915
1665755222427,2022-10-14T15.47.02.427,0.480,13.598,7.195,0.183
1665755222437,2022-10-14T15.47.02.437,0.490,8.659,7.378,-0.488
1665755222448,2022-10-14T15.47.02.448,0.501,3.598,6.951,-0.732
1665755222458,2022-10-14T15.47.02.458,0.511,-0.549,0.244,-0.793
1665755222468,2022-10-14T15.47.02.468,0.521,-4.085,-8.171,-0.488
